alimento_id;nome_alimento;umidade;energia_kcal;energia_kj;proteina;lipidios;colesterol;carboidrato;fibra_alimentar;calcio;magnesio;manganes;fosforo;ferro;sodio;potassio;cobre;zinco;retinol;vitamina_a_re;vitamina_a_rae;tiamina;riboflavina;piridoxina;niacina;vitamina_c;categoria;subcategoria;criado_por_usuario;ativo
522;"Chantilly, spray, com gordura vegetal";55.14;314.96;1317.78;0.53;27.27;\N;16.86;\N;2.27;0.85;\N;15.65;\N;109.70;5.11;0.01;0.07;\N;\N;\N;0.07;\N;\N;\N;\N;11;71;FALSE;TRUE
523;"Leite, de coco";77.98;166.16;695.21;1.01;18.36;\N;2.19;0.68;5.85;16.83;0.24;25.52;0.46;44.29;143.67;0.16;0.32;\N;\N;\N;\N;\N;\N;\N;\N;11;71;FALSE;TRUE
524;"Maionese, tradicional com ovos";58.42;302.15;1264.21;0.58;30.50;42.47;7.90;\N;3.48;0.86;\N;14.45;0.10;786.83;16.09;\N;0.06;8.00;\N;\N;\N;0.05;\N;\N;\N;11;65;FALSE;TRUE
525;Acarajé;50.46;289.21;1210.06;8.35;19.93;25.46;19.11;9.36;124.42;51.12;0.59;141.56;1.93;304.89;353.66;0.23;1.19;\N;\N;\N;0.06;\N;\N;\N;\N;4;45;FALSE;TRUE
526;Arroz carreteiro;68.04;153.77;643.38;10.83;7.12;36.09;11.58;1.50;13.26;9.29;0.18;47.64;0.96;1621.73;87.15;0.08;2.67;\N;\N;\N;0.03;\N;0.07;1.60;\N;1;10;FALSE;TRUE
527;"Baião de dois, arroz e feijão-de-corda";69.05;135.68;567.69;6.24;3.23;4.10;20.42;5.07;33.30;18.68;0.27;71.68;0.56;93.30;157.31;0.08;0.60;\N;\N;\N;0.04;\N;0.04;\N;\N;1;10;FALSE;TRUE
528;Barreado;71.17;164.98;690.26;18.27;9.53;60.11;0.24;0.15;14.51;21.37;0.05;169.31;2.44;47.63;294.56;0.17;4.83;\N;\N;\N;0.03;0.04;\N;2.09;\N;6;28;FALSE;TRUE
529;"Bife à cavalo, com contra filé";54.21;291.23;1218.50;23.66;21.15;256.63;0.00;\N;25.98;19.49;0.02;215.82;2.10;82.87;272.23;0.06;3.21;36.80;\N;\N;0.05;0.10;\N;2.92;\N;6;28;FALSE;TRUE
530;Bolinho de arroz;41.50;273.51;1144.38;8.04;8.29;70.30;41.68;2.74;23.57;13.45;0.42;87.27;2.12;58.86;96.45;0.13;0.86;\N;\N;\N;0.08;0.05;\N;\N;\N;1;10;FALSE;TRUE
531;Camarão à baiana;81.99;100.78;421.68;7.94;5.97;116.78;3.17;0.39;42.68;14.86;0.11;244.09;1.42;84.79;139.14;0.07;0.47;\N;\N;\N;\N;\N;\N;0.31;4.07;9;39;FALSE;TRUE
532;"Charuto, de repolho";81.55;78.23;327.33;6.78;1.12;21.34;10.13;1.46;22.89;13.46;0.22;67.89;0.86;12.10;184.03;1.45;1.75;\N;\N;\N;0.03;\N;\N;0.32;4.77;2;95;FALSE;TRUE
533;"Cuscuz, de milho, cozido com sal";71.14;113.46;474.71;2.16;0.68;\N;25.28;2.05;1.54;2.72;0.02;23.18;0.17;247.67;10.85;\N;0.20;\N;\N;\N;\N;\N;0.06;\N;\N;1;70;FALSE;TRUE
534;"Cuscuz, paulista";68.94;142.12;594.64;2.56;4.65;15.05;22.51;2.43;14.16;5.10;0.06;25.95;0.33;235.71;52.93;0.05;0.21;\N;\N;\N;\N;\N;\N;0.93;\N;1;70;FALSE;TRUE
535;"Cuxá, molho";80.99;80.09;335.10;5.64;3.59;58.39;5.74;3.02;105.48;33.58;0.23;111.13;0.94;1344.29;124.06;0.17;0.57;\N;32.58;16.29;0.04;\N;0.03;1.10;10.28;13;91;FALSE;TRUE
536;Dobradinha;75.27;124.50;520.91;19.77;4.44;144.02;0.00;\N;11.34;8.25;0.11;57.12;1.01;28.77;57.58;0.06;2.72;\N;\N;\N;\N;\N;\N;4.27;\N;6;28;FALSE;TRUE
537;Estrogonofe de carne;70.13;173.14;724.42;15.03;10.80;66.22;2.98;\N;28.32;21.51;0.03;185.57;2.70;122.85;322.31;0.14;2.04;27.63;\N;\N;0.06;0.05;\N;3.25;\N;6;28;FALSE;TRUE
538;Estrogonofe de frango;70.89;156.81;656.08;17.55;7.96;79.96;2.59;\N;26.05;24.76;0.03;195.16;1.52;99.46;307.09;0.12;0.58;28.22;\N;\N;0.07;0.04;0.03;3.37;\N;6;48;FALSE;TRUE
539;Feijão tropeiro mineiro;61.67;151.56;634.13;10.17;6.79;67.88;19.58;3.57;41.20;36.11;0.38;199.26;2.16;365.07;348.93;0.22;1.45;8.77;\N;\N;\N;\N;\N;1.44;\N;4;45;FALSE;TRUE
540;Vazio;71.80;116.93;489.25;8.67;6.48;21.96;11.64;5.09;32.38;31.85;0.24;105.46;1.35;278.22;303.49;0.15;0.83;\N;\N;\N;0.08;0.03;\N;0.93;\N;2;1;FALSE;TRUE
541;"Frango, com açafrão";79.52;112.78;471.89;9.70;6.17;50.42;4.06;0.22;12.99;16.09;0.09;166.84;0.84;28.81;256.37;0.02;0.50;8.09;\N;\N;0.03;\N;\N;1.64;5.28;6;48;FALSE;TRUE
542;"Macarrão, molho bolognesa";71.41;119.53;500.12;4.93;0.89;6.93;22.52;0.78;10.55;9.98;0.22;53.96;1.39;8.94;83.57;0.09;0.75;\N;\N;\N;0.04;\N;\N;1.44;\N;1;67;FALSE;TRUE
543;Maniçoba;76.40;134.22;561.59;9.96;8.70;42.77;3.42;2.16;65.98;23.65;0.60;54.88;3.22;406.70;147.71;0.16;2.03;\N;221.88;110.94;0.04;0.07;0.05;2.58;\N;5;88;FALSE;TRUE
544;Quibebe;81.11;86.35;361.29;8.56;2.67;\N;6.64;1.67;7.68;10.40;0.05;42.53;0.78;246.61;152.81;0.61;1.64;\N;104.92;\N;\N;0.03;0.04;\N;\N;2;1;FALSE;TRUE
545;"Salada, de legumes, com maionese";82.04;96.10;402.10;1.05;7.04;7.20;8.92;2.22;12.13;8.71;0.10;22.27;0.23;228.43;141.29;0.04;0.16;\N;282.75;141.38;0.04;\N;0.04;\N;\N;2;95;FALSE;TRUE
546;"Salada, de legumes, cozida no vapor";89.98;35.41;148.15;2.01;0.31;\N;7.09;0.00;32.90;18.58;0.24;44.79;0.44;2.51;244.30;0.17;0.30;\N;510.00;255.00;0.05;0.03;0.03;\N;29.35;2;95;FALSE;TRUE
547;"Salpicão, de frango";72.53;147.86;618.67;13.93;7.84;52.52;4.57;0.41;9.41;13.25;0.03;102.58;0.32;248.35;148.97;0.08;0.39;\N;14.50;7.25;0.05;\N;\N;1.48;9.26;6;48;FALSE;TRUE
548;Sarapatel;74.95;122.98;514.56;18.47;4.42;315.36;1.09;\N;12.23;12.80;0.10;163.50;7.18;215.62;198.76;1.48;1.77;1463.67;\N;\N;\N;0.11;\N;3.84;\N;6;80;FALSE;TRUE
549;Tabule;85.77;57.45;240.39;2.05;1.21;\N;10.58;2.08;18.85;17.98;0.37;35.47;0.55;1.19;187.63;0.12;0.58;\N;\N;\N;0.03;\N;\N;0.60;16.22;1;30;FALSE;TRUE
550;Tacacá;85.19;46.89;196.18;6.96;0.36;70.56;3.39;0.21;44.82;29.90;0.12;89.17;0.95;1349.06;240.18;0.22;0.79;\N;35.36;17.68;0.05;\N;\N;\N;\N;5;88;FALSE;TRUE
551;"Tapioca, com manteiga";24.90;347.83;1455.31;0.09;10.91;31.19;63.59;\N;30.03;3.22;0.06;8.43;0.24;157.52;19.31;0.01;0.04;75.27;\N;\N;\N;\N;\N;\N;\N;5;88;FALSE;TRUE
552;"Tucupi, com pimenta-de-cheiro";91.88;27.18;113.74;2.06;0.28;\N;4.74;0.23;28.26;42.49;0.52;30.81;1.15;5.13;390.84;0.12;0.85;\N;\N;25.29;\N;\N;0.05;\N;46.40;5;88;FALSE;TRUE
553;Vaca atolada;74.95;144.90;606.25;5.12;9.32;18.59;10.06;2.34;62.66;15.75;0.04;71.77;0.73;25.63;219.81;0.12;1.20;\N;\N;\N;\N;\N;\N;0.77;\N;6;28;FALSE;TRUE
554;Vatapá;58.36;254.89;1066.47;6.00;23.23;44.45;9.75;1.70;46.82;39.32;0.48;108.44;1.44;879.85;209.41;0.28;0.85;\N;\N;\N;\N;\N;\N;1.80;\N;1;43;FALSE;TRUE
555;Virado à paulista;48.59;306.95;1284.27;10.18;25.59;65.84;14.11;2.16;40.71;21.81;0.15;135.49;1.05;345.53;237.26;0.07;1.04;10.17;\N;\N;0.14;0.05;\N;2.60;\N;4;45;FALSE;TRUE
556;Yakisoba;69.38;112.80;471.96;7.52;2.61;\N;18.25;1.06;13.95;13.34;0.15;83.03;0.62;793.76;158.57;0.06;0.68;\N;62.00;31.00;0.16;\N;\N;2.09;\N;1;67;FALSE;TRUE
557;"Amendoim, grão, cru";6.43;544.05;2276.32;27.19;43.85;\N;20.31;8.04;\N;170.51;1.96;407.20;2.53;\N;580.44;0.78;3.17;\N;\N;\N;0.10;0.03;0.76;10.18;\N;4;9;FALSE;TRUE
558;"Amendoim, torrado, salgado";1.69;605.78;2534.59;22.48;53.96;\N;18.70;7.76;39.43;159.34;1.70;260.76;1.33;375.73;495.67;0.68;2.12;\N;\N;\N;0.08;\N;0.21;7.47;\N;4;9;FALSE;TRUE
559;"Ervilha, em vagem";76.84;88.09;366.97;7.45;0.47;\N;14.23;9.72;24.44;41.76;0.40;151.98;1.44;\N;310.98;0.20;1.23;\N;\N;\N;0.27;0.07;0.06;1.16;12.44;4;42;FALSE;TRUE
560;"Ervilha, enlatada, drenada";80.14;73.84;308.97;4.60;0.38;\N;13.44;5.08;22.22;23.19;0.46;78.51;1.39;372.11;147.12;0.14;0.88;\N;9.17;4.58;0.07;0.03;\N;\N;\N;4;42;FALSE;TRUE
561;"Feijão, carioca, cozido";80.35;76.42;319.76;4.78;0.54;\N;13.59;8.51;26.59;42.34;0.28;86.85;1.29;1.76;254.62;0.19;0.70;\N;\N;\N;0.04;\N;\N;\N;\N;4;45;FALSE;TRUE
562;"Feijão, carioca, cru";14.00;329.03;1376.65;19.98;1.26;\N;61.22;18.42;122.57;209.95;1.02;385.38;7.99;\N;1352.46;0.79;2.90;\N;\N;\N;0.17;\N;0.65;4.02;\N;4;45;FALSE;TRUE
563;"Feijão, fradinho, cozido";80.01;78.01;326.39;5.09;0.64;\N;13.50;7.47;17.45;38.12;0.53;84.59;1.06;0.98;252.98;0.10;1.12;\N;\N;\N;0.12;\N;\N;\N;\N;4;45;FALSE;TRUE
564;"Feijão, fradinho, cru";12.70;339.16;1419.07;20.21;2.37;\N;61.24;23.59;77.52;178.39;1.43;354.52;5.13;10.31;1082.74;0.70;3.88;\N;\N;\N;0.14;0.03;0.26;\N;\N;4;45;FALSE;TRUE
565;"Feijão, jalo, cozido";75.84;92.74;388.02;6.14;0.51;\N;16.50;13.87;29.40;44.10;0.32;121.01;1.92;0.52;347.72;0.24;1.01;\N;\N;\N;0.13;\N;0.04;\N;\N;4;45;FALSE;TRUE
566;"Feijão, jalo, cru";13.53;327.91;1371.96;20.10;0.95;\N;61.48;30.32;97.97;169.90;0.99;427.19;7.03;24.58;1275.95;0.95;3.01;\N;\N;\N;0.10;\N;0.12;\N;\N;4;45;FALSE;TRUE
567;"Feijão, preto, cozido";80.22;77.03;322.28;4.48;0.54;\N;14.01;8.40;29.00;40.37;0.37;88.03;1.47;1.85;256.37;0.20;0.72;\N;\N;\N;0.06;\N;0.03;\N;\N;4;45;FALSE;TRUE
568;"Feijão, preto, cru";14.88;323.57;1353.80;21.34;1.24;\N;58.75;21.83;110.90;188.11;1.32;471.16;6.46;\N;1415.68;0.83;2.85;\N;\N;\N;0.12;\N;0.59;4.60;\N;4;45;FALSE;TRUE
569;"Feijão, rajado, cozido";77.86;84.70;354.39;5.54;0.40;\N;15.27;9.32;29.19;41.71;0.29;112.93;1.36;0.69;314.58;0.23;0.92;\N;\N;\N;0.09;\N;0.04;\N;\N;4;45;FALSE;TRUE
570;"Feijão, rajado, cru";14.96;325.84;1363.33;17.27;1.17;\N;62.93;24.01;111.43;169.90;1.17;334.79;18.58;13.65;1134.54;0.84;2.60;\N;\N;\N;0.07;0.03;0.07;\N;\N;4;45;FALSE;TRUE
571;"Feijão, rosinha, cozido";82.58;67.87;283.95;4.54;0.48;\N;11.82;4.76;19.24;42.96;0.46;89.51;1.18;2.08;240.57;0.09;1.31;\N;\N;\N;\N;\N;\N;3.69;\N;4;45;FALSE;TRUE
572;"Feijão, rosinha, cru";11.95;336.96;1409.85;20.92;1.33;\N;62.22;20.63;67.66;184.50;1.08;393.59;5.32;24.11;1108.66;0.60;3.98;\N;\N;\N;0.16;0.03;\N;3.92;\N;4;45;FALSE;TRUE
573;"Feijão, roxo, cozido";79.99;76.89;321.72;5.72;0.54;\N;12.91;11.51;22.53;34.39;0.32;106.33;1.41;1.46;268.09;0.22;1.01;\N;\N;\N;0.15;\N;0.03;\N;\N;4;45;FALSE;TRUE
574;"Feijão, roxo, cru";12.64;331.41;1386.64;22.17;1.24;\N;59.99;33.84;120.46;161.94;1.34;393.70;6.92;9.76;1221.40;1.04;3.29;\N;\N;\N;0.26;\N;0.08;\N;\N;4;45;FALSE;TRUE
575;"Grão-de-bico, cru";12.29;354.70;1484.08;21.23;5.43;\N;57.88;12.36;114.36;146.39;3.16;342.34;5.38;5.19;1115.70;0.67;3.19;\N;\N;\N;0.52;\N;0.75;\N;\N;4;9;FALSE;TRUE
576;"Guandu, cru";11.45;344.13;1439.86;18.96;2.13;\N;64.00;21.31;129.34;166.00;1.02;269.19;1.94;1.62;1214.80;0.57;2.02;\N;\N;\N;1.06;\N;0.07;2.69;1.47;4;45;FALSE;TRUE
577;"Lentilha, cozida";76.25;92.64;387.60;6.31;0.52;\N;16.30;7.86;16.10;21.65;0.29;103.74;1.48;1.18;219.90;0.17;1.13;\N;\N;\N;0.03;\N;\N;\N;\N;4;64;FALSE;TRUE
578;"Lentilha, crua";11.47;339.14;1418.97;23.15;0.77;\N;62.00;16.94;53.52;93.53;1.08;367.74;7.05;\N;886.88;0.83;3.49;\N;\N;\N;0.11;\N;0.42;5.07;\N;4;64;FALSE;TRUE
579;"Paçoca, amendoim";1.80;486.93;2037.30;16.00;26.08;\N;52.38;7.32;22.48;100.67;1.06;198.50;1.13;166.84;347.60;0.38;1.56;\N;\N;\N;\N;\N;1.20;\N;\N;4;9;FALSE;TRUE
580;"Pé-de-moleque, amendoim";2.91;503.19;2105.35;13.16;28.05;\N;54.73;3.39;27.11;107.90;1.09;170.71;1.26;16.35;355.41;0.43;1.43;\N;\N;\N;0.04;0.03;0.11;5.94;\N;4;9;FALSE;TRUE
581;"Soja, farinha";5.75;403.96;1690.15;36.03;14.63;\N;38.44;20.18;206.02;241.90;2.87;539.25;13.06;5.75;1922.39;1.29;4.54;\N;\N;\N;0.20;0.04;0.03;\N;\N;4;92;FALSE;TRUE
582;"Soja, extrato solúvel, natural, fluido";91.28;39.10;163.61;2.38;1.61;\N;4.28;0.37;16.52;15.45;0.15;52.89;0.43;56.53;121.04;0.08;0.28;\N;\N;\N;\N;\N;\N;\N;\N;4;92;FALSE;TRUE
583;"Soja, extrato solúvel, pó";4.47;458.90;1920.02;35.69;26.18;\N;28.48;7.31;359.04;215.62;2.68;646.55;7.01;83.47;1606.80;1.19;5.84;\N;\N;\N;\N;0.11;0.35;\N;9.21;4;92;FALSE;TRUE
584;"Soja, queijo (tofu)";86.65;64.49;269.81;6.55;3.95;\N;2.13;0.75;80.76;38.20;0.33;129.52;1.43;1.21;181.69;0.18;0.89;\N;\N;\N;0.04;\N;0.03;\N;\N;4;92;FALSE;TRUE
585;"Tremoço, cru";9.69;381.28;1595.27;33.58;10.34;\N;43.79;32.31;176.75;121.43;\N;264.68;2.79;3.29;708.32;0.79;4.24;\N;\N;\N;0.24;\N;0.07;\N;24.97;4;9;FALSE;TRUE
586;"Tremoço, em conserva";67.68;120.64;504.77;11.11;3.78;\N;12.39;14.44;15.54;3.52;\N;39.72;0.34;1808.76;0.00;0.27;0.64;\N;\N;\N;\N;\N;\N;\N;\N;4;9;FALSE;TRUE
587;"Amêndoa, torrada, salgada";3.11;580.75;2429.85;18.55;47.32;\N;29.55;11.64;236.70;222.10;1.95;493.06;3.06;278.52;639.60;0.93;2.58;\N;\N;\N;0.29;0.16;\N;\N;\N;4;9;FALSE;TRUE
588;"Castanha-de-caju, torrada, salgada";3.46;570.17;2385.58;18.51;46.28;\N;29.13;3.66;32.59;236.61;1.59;594.22;5.22;125.00;671.46;1.92;4.72;\N;\N;\N;0.29;0.05;0.39;\N;\N;4;9;FALSE;TRUE
589;"Castanha-do-Brasil, crua";3.52;642.96;2690.16;14.54;63.46;\N;15.08;7.93;146.34;365.12;1.10;853.28;2.31;0.65;650.99;1.79;4.22;\N;\N;\N;0.30;\N;0.44;\N;\N;4;9;FALSE;TRUE
590;"Coco, cru";42.96;406.49;1700.74;3.69;41.98;\N;10.40;5.38;6.48;51.46;1.00;117.54;1.76;15.32;354.15;0.45;0.94;\N;\N;\N;\N;\N;0.03;\N;2.49;4;9;FALSE;TRUE
591;"Coco,  verde, cru";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;4;9;FALSE;TRUE
592;"Farinha, de mesocarpo de babaçu, crua";15.82;328.77;1375.58;1.41;0.20;\N;79.17;17.86;60.95;39.35;0.38;25.56;18.33;12.46;362.07;0.22;0.34;\N;\N;\N;\N;\N;\N;2.58;\N;1;43;FALSE;TRUE
593;"Gergelim, semente";3.86;583.55;2441.56;21.16;50.43;\N;21.62;11.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;\N;\N;\N;0.94;\N;0.13;5.92;\N;4;9;FALSE;TRUE
594;"Linhaça, semente";6.68;495.10;2071.53;14.08;32.25;\N;43.31;33.50;211.50;346.92;2.81;615.18;4.70;8.67;869.29;1.09;4.39;\N;\N;\N;0.12;\N;0.13;\N;\N;4;9;FALSE;TRUE
595;"Pinhão, cozido";50.51;174.37;729.56;2.98;0.75;\N;43.92;15.60;15.77;52.97;0.41;165.84;0.76;0.86;727.01;0.18;0.83;\N;\N;\N;\N;\N;\N;\N;27.69;4;9;FALSE;TRUE
596;"Pupunha, cozida";54.46;218.53;914.35;2.52;12.76;\N;29.57;4.25;27.59;25.29;0.13;48.77;0.52;0.91;303.36;0.28;0.29;\N;875.44;437.72;\N;0.09;0.03;\N;2.18;3;50;FALSE;TRUE
597;"Noz, crua";6.24;620.06;2594.33;13.97;59.36;\N;18.36;7.25;105.31;152.89;4.05;396.28;2.04;4.57;533.26;0.75;2.06;\N;\N;\N;0.38;\N;0.13;1.08;\N;4;9;FALSE;TRUE
